project;ID.num.QN;ID.num.Stoikos;ID.analysis;species;site;UTMx;UTMy;elevation;lat;long;habitat.red;expo;leaf_length;leaf_length_cv;leaf_width;leaf_width_cv;leaf_area;leaf_area_cv;leaf_form;leaf_form_cv;cell_length;cell_length_cv;cell_width;cell_width_cv;cell_wall;cell_wall_cv;cell_area;cell_area_cv;wac;wac_cv;mma;mma_cv;shoot.len;pleuro;mono;spo.freq;spo.dia;Zn;Pb;Ni;As;Co;Cd;B;Hg;Cr;Cu;Mn;Mg;S;Ca;P;Fe;Na;K;Al;N;C;d15N;d13C;annual_mean_temp;temp_seasonality;annual_precipitation;precip_driest_month;precip_seasonality
QN;87;NA;AbiAbi-01;Abietinella abietina;R-PLL-05;334924;4688269;1037.43;42.3291734;0.996432153;T;O;825;0.130230092;468.75;0.099064485;248750;0.133065076;1.778559314;0.163056464;8.165848;0.299287462;7.319224;0.153779587;1.727656;0.356739031;46.69953616;0.328360356;1.81092437;0.053969232;0.0834;0.167505759;120;1;0;1;17;14.56745616;1.537134026;2.660553642;0.71643227;0.898062987;0.033635318;16.18195142;0.030271786;36.99885;6.727064;57.18004;2290.565145;736.613461;7816.847868;2125.752088;1954.211967;70.634167;4961.209383;2041.663793;17.085811;351.8494351;-5.506243193;-26.76869312;10.0625;622.2580566;859;55;18.83058739
QN;91;NA;AbiAbi-02;Abietinella abietina;T-MOI-04;433239;4630966;898.17;41.82776665;2.196046569;T;O;987.6666667;0.130230092;407.8333333;0.099064485;238083.3333;0.133065076;2.438644573;0.163056464;8.165848;0.299287462;7.319224;0.153779587;1.727656;0.356739031;46.69953616;0.328360356;1.699256111;0.053969232;0.0621;0.167505759;120;1;0;1;17;25.88755582;3.085990419;3.148679051;0.555649244;0.795005842;0.085484499;22.16328114;0.056989666;51.290699;8.54845;76.936049;1570.065301;1114.147972;13027.83767;963.125357;2085.821779;74.086566;3453.573765;2308.081477;12.808301;394.4708636;-9.157082431;-30.94640017;11.21249962;595.8421021;813;45;22.19942474
QN;175;NA;AbiAbi-03;Abietinella abietina;T-GTX-23;466474;4679756;257.37;42.26929111;2.593464554;T;O;772.4166667;0.130230092;388.75;0.099064485;192083.3333;0.133065076;1.988238687;0.163056464;8.165848;0.299287462;7.319224;0.153779587;1.727656;0.356739031;46.69953616;0.328360356;1.892898719;0.053969232;0.0643;0.167505759;120;1;0;1;17;23.7937738;3.859401996;4.897116724;1.591803147;1.444473278;0.09928752;20.32191342;0.038433879;73.664934;9.60847;108.89599;1601.411617;1060.13449;12785.67035;2088.240748;3849.793527;137.721399;5009.215537;4352.636774;16.831973;381.7648015;-6.207647067;-29.35170447;13.22083378;559.5390015;713;35;21.45880699
QN;84;NA;AllCom-02;Alleniella complanata;E-PLL-05;334924;4688269;1037.43;42.3291734;0.996432153;T;O;1027.059083;0.141223625;459.4285;0.081132233;354895.3333;0.216095655;2.270976348;0.063007164;38.66364286;0.162575823;7.340171429;0.116826843;2.432285714;0.177254241;222.6349004;0.192340142;1.140762463;0.17351409;0.0247;0.252714214;50;1;0;2;20;19.80687069;1.71293676;4.057830772;0.488935347;0.967892422;0.04323918;28.39483713;0.093130542;26.608726;9.978272;166.30454;2281.698286;1613.154036;9662.293764;2175.263381;2072.154566;93.130542;4513.505211;2258.415651;18.445989;405.2612667;-5.595167616;-29.58576375;10.0625;622.2580566;859;55;18.83058739
QN;189;NA;AllCom-05;Alleniella complanata;R-POB-01;340131;4580217;1020.03;41.35759586;1.088773795;T;O;1320.387;0.141223625;534.5256667;0.081132233;533267.2418;0.216095655;2.551432164;0.063007164;38.66364286;0.162575823;7.340171429;0.116826843;2.432285714;0.177254241;222.6349004;0.192340142;1.571917808;0.17351409;0.0408;0.252714214;50;1;0;2;20;22.40308812;3.591334737;1.841710121;0.782726802;0.825480787;0.105240578;52.15657288;0.059197825;49.331521;9.866304;69.06413;5824.408259;1397.726431;15924.21501;822.192018;1946.9507;92.085506;2834.91808;2173.875697;14.084599;398.2687121;-6.421465342;-28.36844651;10.83749962;619.0062866;699;30;24.3000145
QN;206;NA;AllCom-06;Alleniella complanata;E-GTX-30;452685;4676186;485.01;42.23643;2.4265577;T;O;1333.563;0.141223625;525.9421667;0.081132233;530477.7768;0.216095655;2.522552527;0.063007164;38.66364286;0.162575823;7.340171429;0.116826843;2.432285714;0.177254241;222.6349004;0.192340142;1.56703567;0.17351409;0.0309;0.252714214;50;1;0;2;20;19.92138729;0.582433629;1.531584729;1.251153722;0.219311428;0.017976347;128.5524497;0.039547962;43.143232;7.496137;25.166885;2006.160279;780.173442;14999.46359;1704.157656;506.932974;100.667541;4202.869832;463.789742;12;419;-7.36;-30.6;12.64166641;558.1211548;732;41;20.39019585
QN;181;NA;AnoVit-03;Anomodon viticulosus;R-GTX-24;466431;4679725;263.72;42.26901008;2.592944946;T;O;2021.3605;0.10445264;851.9405833;0.036141016;1088689.083;0.167550549;2.379646407;0.067235298;7.68671;0.156463245;6.32736;0.139576492;1.4949;0.267974648;38.02705777;0.18695173;1.320860617;0.188335;0.0769;0.125516284;120;1;0;1;16;23.17515976;3.814017658;2.843838285;1.655368554;1.561382427;0.090954316;55.4063376;0.039413537;30.318105;9.095432;166.74958;1837.277187;948.956699;22156.47142;1479.523543;3662.427131;66.699832;5387.527327;4414.316144;11.1563;374.1868211;-6.099409234;-29.75773269;13.22083378;559.5390015;713;35;21.45880699
QN;197;NA;AnoVit-05;Anomodon viticulosus;R-RIP-01;441539;4689889;1294.78;42.35907341;2.290096198;T;P;2474.586083;0.10445264;912.1821667;0.036141016;1510092.046;0.167550549;2.718552194;0.067235298;7.68671;0.156463245;6.32736;0.139576492;1.4949;0.267974648;38.02705777;0.18695173;1.247300216;0.188335;0.0958;0.125516284;120;1;0;1;16;18.55150489;2.330482775;7.453234871;6.585076162;1.779417495;0.206264658;18.81934109;0.033864347;89.278732;9.235731;107.750194;1850.224766;982.066057;10827.35524;1526.974183;2792.269322;61.57154;4042.171576;2188.868234;14.504436;291.4379723;-4.69085739;-27.67021179;7.4375;588.6546021;1041;59;18.20202446
QN;212;NA;AnoVit-07;Anomodon viticulosus;R-GTX-32;453342;4676599;442.09;42.24018;2.4344868;T;P;2163.090667;0.10445264;865.0916667;0.036141016;1233971.639;0.167550549;2.514636195;0.067235298;7.68671;0.156463245;6.32736;0.139576492;1.4949;0.267974648;38.02705777;0.18695173;1.749185668;0.188335;0.0784;0.125516284;120;1;0;1;16;21.94646884;2.0446131;2.91473742;0.95248176;0.46191785;0.07877669;26.33647876;0.05729214;35.80758;6.66379;46.54986;1392.91506;1160.16575;12876.40756;1665.0527;995.45086;82.35745;5009.48114;1296.23458;13;424;-5.84;-28.79;12.61666679;560.0744019;735;41;20.37894058
QN;19;NA;AtrUnd-01;Atrichum undulatum;T-MNG-02;464515;4612286;709.08;41.66153792;2.573779999;T;O;8156.25;0.050215619;1289.833333;0.147178344;7877666.667;0.205180975;6.332284488;0.144537846;14.2205;0.21093164;22.37790741;0.151545661;2.27562963;0.285924261;250.9890654;0.280194845;2.465163934;0.098389108;0.0669;0.112927282;70;0;1;4;18;21.82756443;5.459974096;7.963361428;1.78196783;2.090266763;0.160315445;23.09775603;0.077074733;89.40669;9.786991;169.564413;2259.831176;801.577225;12483.02378;601.182919;5296.575661;107.904626;3129.234166;7337.514595;19.603721;406.6143;-7.280798928;-29.57734695;12.59166718;558.9105835;823;39;22.74325752
